app_cat_dmart,app_brand,app_name_dmart,app_organic,App_Original_price,App_dmart_price,app_Weight,app_Scale
almonds,premia,almond,non_organic,407,329,500,g
almonds,nutraj,almond,non_organic,599,339,500,g
